Age,smpl_t,pstv_t,lo_t,up_t,smpl_m,pstv_m,lo_m,up_m,smpl_f,pstv_f,lo_f,up_f
0,268,1.1,0.3,3.8,131,1.6,0.3,7.9,137,0.5,0.1,2.1
1,1693,2.2,1.4,3.6,865,2.0,1.1,3.6,828,2.5,1.2,4.9
5,2857,3.0,2.3,4.1,1534,3.5,2.4,5.1,1323,2.5,1.6,3.9
10,3425,3.9,3.1,4.9,1734,3.7,2.7,5.1,1691,4.2,3.1,5.6
15,3221,3.8,3.0,4.9,1590,3.3,2.4,4.7,1631,4.3,3.2,5.7
20,2805,4.5,3.5,5.7,1399,4.4,3.2,6.1,1406,4.6,3.2,6.4
25,2606,4.8,3.7,6.1,1251,4.4,3.1,6.1,1355,5.1,3.6,7.3
30,3050,3.8,2.9,4.9,1437,3.9,2.7,5.5,1613,3.7,2.6,5.2
35,4000,4.6,3.8,5.6,1942,4.9,3.7,6.4,2058,4.4,3.4,5.6
40,5174,5.3,4.5,6.2,2456,5.2,4.2,6.5,2718,5.3,4.3,6.5
45,5330,5.7,4.9,6.7,2594,5.4,4.3,6.8,2736,6.0,4.9,7.2
50,5263,5.8,4.9,6.9,2495,6.0,4.8,7.6,2768,5.6,4.6,6.7
55,5187,6.1,5.2,7.2,2416,5.8,4.8,7.1,2771,6.3,5.2,7.8
60,4560,5.9,5.0,7.0,2233,5.9,4.8,7.3,2327,5.9,4.8,7.4
65,3568,6.2,5.1,7.4,1729,6.1,4.7,7.8,1839,6.2,4.9,7.8
70,2931,6.9,5.7,8.3,1356,6.9,5.3,8.8,1575,6.9,5.4,8.8
75,2161,6.1,4.8,7.7,999,7.0,5.1,9.4,1162,5.4,3.9,7.4
80,1410,5.1,3.8,6.9,576,5.9,3.8,9.1,834,4.6,3.1,6.6
85,968,5.6,3.8,8.2,371,5.2,2.7,9.5,597,5.9,3.6,9.3
90,420,5.8,3.2,10.0,147,6.2,2.3,15.5,273,5.6,2.7,11.1
