Sex,Age,Exposure,Deaths,Baseline,Excess,Excess_lp,Excess_up,last_week,last_date
f,0,1012511.8,183,129.78775180072984,53.21224819927017,3,126.02499999999995,19,2020-05-11
f,5,1157513.94,18,11.828822154879253,6.171177845120747,0,18,19,2020-05-11
f,10,1199947.58,12,9.63992913680454,2.3600708631954603,0,12,20,2020-05-18
f,15,1112797.1199999999,23,16.993880895343352,6.006119104656647,0,23,20,2020-05-18
f,20,1111963.8,30,20.34480148046766,9.655198519532341,0,26,21,2020-05-25
f,25,1250639.12,73,56.4751875560484,16.524812443951603,0,61,21,2020-05-25
f,30,1418833.69,93,60.887554520319014,32.112445479680986,2,74,21,2020-05-25
f,35,1748325.32,187,137.51721641637934,49.48278358362066,6,128,21,2020-05-25
f,40,1966015.4300000002,266,215.30662708375397,50.693372916246034,0,141,21,2020-05-25
f,45,1875046.8,525,434.97462170106326,90.02537829893676,13,226.02499999999995,21,2020-05-25
f,50,1813844,879,719.3029895965147,159.69701040348525,43,349.025,21,2020-05-25
f,55,1644712.78,1470,1114.4151134320389,355.5848865679611,168.97500000000014,594.025,21,2020-05-25
f,60,1418826.6300000001,2128,1615.347790577405,512.652209422595,243.97500000000014,818,21,2020-05-25
f,65,1257288.9,2519,1861.010221069808,657.9897789301921,414,974.0999999999998,21,2020-05-25
f,70,1163469.25,4020,2582.0303084023785,1437.9696915976215,1080.9750000000001,1811.0749999999998,20,2020-05-18
f,75,881282.47,5986,3845.431348291428,2140.568651708572,1696.9750000000001,2604.05,20,2020-05-18
f,80,827627.78,10393,6617.04694046652,3775.95305953348,3290.9750000000004,4409.075,20,2020-05-18
f,85,617161.08,17766,11118.530600668506,6647.469399331494,5842.875000000001,7494.05,20,2020-05-18
f,90,371671.36,24744,15115.00727391645,9628.99272608355,8678.95,10651.125,20,2020-05-18
f,All,1966015.4300000002,71315,45681.87897916684,25633.12102083316,21484.700000000004,30539.575,21,2020-05-25
m,0,1074288.2,205,132.26770909087298,72.73229090912703,9,148,19,2020-05-11
m,5,1233440.8,7,4.470981702252095,2.529018297747905,0,7,19,2020-05-11
m,10,1276446.3,6,4.031093641055108,1.968906358944892,0,5,20,2020-05-18
m,15,1184986.17,9,5.8668035308284265,3.1331964691715735,0,8,20,2020-05-18
m,20,1159874.91,56,43.89416714612632,12.105832853873679,2,41.024999999999956,21,2020-05-25
m,25,1270098.02,66,52.316842671465686,13.683157328534316,0,44,21,2020-05-25
m,30,1406763.3199999998,167,123.77982205990982,43.22017794009019,3,111,21,2020-05-25
m,35,1753430.72,202,162.61445016334716,39.38554983665284,1,106.02499999999995,21,2020-05-25
m,40,2016902.5899999999,550,468.27760645121197,81.72239354878806,8,240,21,2020-05-25
m,45,1912448.63,960,756.9266455031031,203.07335449689685,57,389.025,21,2020-05-25
m,50,1804924.7000000002,1362,1109.5354680853623,252.4645319146378,81,459,21,2020-05-25
m,55,1595539.41,2511,1972.3815664326494,538.6184335673507,292,836,21,2020-05-25
m,60,1336992.11,3883,2943.0663439712707,939.9336560287294,568.9750000000001,1326.05,21,2020-05-25
m,65,1146530.43,4847,3409.9040632040915,1437.0959367959085,1056,1848,21,2020-05-25
m,70,1000802.5,7589,4845.0872276610335,2743.9127723389665,2279.9500000000003,3249.0499999999997,20,2020-05-18
m,75,698998.81,10014,6159.102326535363,3854.897673464637,3294.9500000000003,4436,20,2020-05-18
m,80,564484.95,11594,6859.178797399165,4734.821202600835,4160.950000000001,5355,20,2020-05-18
m,85,352691.49,13241,7888.013401562958,5352.986598437042,4750,5988.075,20,2020-05-18
m,90,153719.19,12273,7492.054790730758,4780.945209269241,4222.950000000001,5403.05,20,2020-05-18
m,All,2016902.5899999999,69542,44432.77010754283,25109.229892457177,20786.775,29999.3,21,2020-05-25
